医院名,住所,評価,口コミ件数,除外理由
東京矯正歯科,日本、〒103-0027 東京都中央区日本橋３丁目２−２ オオタケ 㐧7ビル Ｂ1階 旧：,4.7,15,レビュー15件(<50)
天満橋こども歯科＆矯正クリニック,日本、〒530-0043 大阪府大阪市北区天満３丁目２−２ エムロードビル ２Ｆ,4.4,14,レビュー14件(<50)
ちかファミリー歯科+Kids,日本、〒540-0013 大阪府大阪市中央区内久宝寺町２丁目３−3番25号 上町メディカルテラス 1階,5,21,レビュー21件(<50)
ななほし歯科おとなこども歯科クリニック,日本、〒546-0012 大阪府大阪市東住吉区中野１丁目１５−２０,5,37,レビュー37件(<50)
こどもの歯科ドレミ,日本、〒550-0004 大阪府大阪市西区靱本町２丁目５−１ 丸文ビル 4階,5,5,レビュー5件(<50)
悠太こども矯正歯科,日本、〒556-0021 大阪府大阪市浪速区幸町２丁目８−１０,4.9,24,レビュー24件(<50)
小児歯科ふじわら歯科,日本、〒546-0032 大阪府大阪市東住吉区東田辺２丁目２６−３,4.1,16,レビュー16件(<50)
エリナ大人こども歯科矯正歯科,日本、〒530-0022 大阪府大阪市北区浪花町４−２６ Fortunato扇町 1F,4.7,25,レビュー25件(<50)
桜通り歯科医院,日本、〒540-0024 大阪府大阪市中央区南新町２丁目２−１１,5,20,レビュー20件(<50)
こどもの歯医者さん 下北沢,日本、〒155-0033 東京都世田谷区代田６丁目６−１ B1F,4.2,29,レビュー29件(<50)
フレンド小児歯科,日本、〒550-0027 大阪府大阪市西区九条１丁目１１−９ フロントリバー九条ビル 4F,5,7,レビュー7件(<50)
新町こどもファミリー歯科・矯正歯科｜西区 小児歯科 小児矯正,日本、〒550-0013 大阪府大阪市西区新町１丁目１４−２１ 1F,4.3,18,レビュー18件(<50)
ワハハキッズデンタルみやけ歯科,日本、〒534-0001 大阪府大阪市都島区毛馬町１丁目１０−１,4.8,31,レビュー31件(<50)
大阪・心斎橋MA矯正歯科,日本、〒542-0081 大阪府大阪市中央区南船場３丁目１０−１１ FPG links SHINSAIBASHI7F,4.3,23,レビュー23件(<50)
0歳からお口を育てる大池小児歯科,日本、〒483-8336 愛知県江南市前飛保町寺前１１８,4.9,43,レビュー43件(<50)
木の実こども歯科,日本、〒470-0165 愛知県愛知郡東郷町清水１丁目２−２,5,10,レビュー10件(<50)
かんこども歯科,日本、〒444-0801 愛知県岡崎市美合新町１９−２,5,9,レビュー9件(<50)
ひなたこども歯科,日本、〒465-0085 愛知県名古屋市名東区西山本通１丁目１４,5,7,レビュー7件(<50)
にじいろ歯科こども歯科,日本、〒492-8425 愛知県稲沢市増田北町147番,4.9,9,レビュー9件(<50)
村田こども歯科,日本、〒457-0048 愛知県名古屋市南区大磯通４丁目１９−１,4.6,17,レビュー17件(<50)
あかいけ歯科こども歯科,日本、〒492-8002 愛知県稲沢市赤池居道町１３３,4.7,12,レビュー12件(<50)
あいだ小児・矯正歯科,日本、〒466-0853 愛知県名古屋市昭和区川原通８丁目１５,4.8,6,レビュー6件(<50)
ママとこどものはいしゃさん名古屋浄心院,日本、〒451-0025 愛知県名古屋市西区上名古屋１丁目３−１３,4,4,レビュー4件(<50)
おのこども歯科医院,日本、〒464-0004 愛知県名古屋市千種区京命１丁目１−３２,4.4,7,レビュー7件(<50)
中部矯正歯科クリニック,日本、〒450-0002 愛知県名古屋市中村区名駅３丁目１９−１４ 第2名古屋三交ビル 2F,4.9,16,レビュー16件(<50)
しろくま矯正歯科名東クリニック,日本、〒465-0097 愛知県名古屋市名東区平和が丘２丁目１２３,4.8,37,レビュー37件(<50)
星ヶ丘矯正歯科,"名古屋星ケ丘ビル 3F, 49-1 井上町 千種区 名古屋市 愛知県 464-0026 日本",4.6,32,レビュー32件(<50)
名駅MA矯正歯科,日本、〒450-0002 愛知県名古屋市中村区名駅３丁目２３−６ 第二千福ビル 2F,4.6,37,レビュー37件(<50)
後藤達也矯正歯科,日本、〒446-0073 愛知県安城市篠目町肥田６６−１,4.2,40,レビュー40件(<50)
名古屋矯正歯科診療所,日本、〒450-0003 愛知県名古屋市中村区名駅南２丁目１４−１９ 住友生命名古屋ビル 14階,4.3,21,レビュー21件(<50)
