医院名,WebサイトURL,住所,電話番号,評価,レビュー件数,写真枚数,Google Maps URL
JUN Dental Clinic,https://www.araseki-dc.com/?utm_source=gmb,日本、〒030-0841 青森県青森市奥野２丁目２０−１３,017-773-6680,2.4,16,10,https://maps.google.com/?cid=753771216470094884
鈴木歯科矯正歯科医院,https://www.suzuki-shika-iin.info/,日本、〒038-0011 青森県青森市篠田２丁目２１−７ 鈴木歯科医院,017-781-0032,1,1,0,https://maps.google.com/?cid=14869187195784106167
矯正歯科じん歯科クリニック,https://www.jin-dental.com/,日本、〒036-8004 青森県弘前市大町２丁目10−３,0172-37-1182,2,34,8,https://maps.google.com/?cid=17056383272330121953
盛岡となん歯科･こども矯正歯科,https://tonandc.com/,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,019-638-8680,4.9,262,10,https://maps.google.com/?cid=5972186405453112528
都鳥歯科･小児歯科クリニック,http://www.todorishika.com/,日本、〒024-0091 岩手県北上市大曲町９−２６,0197-64-3033,4.6,5,0,https://maps.google.com/?cid=1929701776690380778
歯の松本,http://www.hanomatsumoto.com/,日本、〒020-0824 岩手県盛岡市東安庭１丁目２３−６２,019-625-5772,4,32,6,https://maps.google.com/?cid=12467602416014899376
村井産婦人科小児歯科医院,https://murai-clinic.net/,日本、〒020-0851 岩手県盛岡市向中野道明55,019-636-2211,4.1,147,7,https://maps.google.com/?cid=4371269780495001218
神の前キッズデンタルパーク,http://kaminomae-kids.com/,日本、〒028-3615 岩手県紫波郡矢巾町南矢幅第１３地割３０−６,019-601-5058,3,6,0,https://maps.google.com/?cid=523237152264477684
ししど歯科医院｜盛岡市 歯医者・小児歯科,https://www.shishido-dental.net/,日本、〒020-0402 岩手県盛岡市黒川２２地割３９−１ 歯医者 小児歯科,019-658-8092,4.7,19,10,https://maps.google.com/?cid=12224080469455841455
ゆいとぴあ歯科医院,http://www.yuitopia-dc.com/,日本、〒020-0866 岩手県盛岡市本宮６丁目１１−１０,019-631-2222,4.5,119,10,https://maps.google.com/?cid=1394409681404232714
はし歯科こども歯科,https://www.hashi-dentalcl.com/,日本、〒020-0122 岩手県盛岡市みたけ２丁目２１−３８,019-648-0035,4.3,6,0,https://maps.google.com/?cid=1481130257404916501
高橋衛歯科医院(歯科･小児歯科･矯正歯科･歯科口腔外科),https://www.mamoru-shika.com/?utm_source=google&utm_medium=maps,日本、〒020-0136 岩手県盛岡市北天昌寺町７−１０,0120-981-418,4.2,173,10,https://maps.google.com/?cid=10299905700277547334
まきなえ歯科小児歯科,https://www.makinae-dc.com/,日本、〒020-0833 岩手県盛岡市西見前１５地割１３６,019-601-2237,4.3,6,10,https://maps.google.com/?cid=15230615017855286663
すこやか歯科こども歯科医院,,日本、〒020-0664 岩手県滝沢市鵜飼笹森７２−２４,019-613-8841,5,2,0,https://maps.google.com/?cid=2470836489838209599
あおば歯科小児歯科クリニック,https://www.aobashika-syounika.net/,日本、〒020-0127 岩手県盛岡市前九年３丁目１９−４６,019-648-0222,3.7,6,0,https://maps.google.com/?cid=11227234111176691696
