filename,fact_check,sources_count,last_verified,revenue_data,japan_score,tags_completeness,product_info,subject_complete,total,rank
132_cyril_nicodeme.md,30,15,5,15,10,10,10,5,100,A
133_uku_taht.md,30,15,5,15,10,10,10,5,100,A
134_pat_walls.md,30,15,5,15,10,10,10,5,100,A
135_rob_walling.md,30,15,5,0,10,10,10,5,85,B
136_courtland_allen.md,30,15,5,15,10,10,10,5,100,A
137_derek_reimer.md,30,15,5,15,10,10,10,5,100,A
138_rosie_sherry.md,30,15,5,15,10,10,10,5,100,A
139_jack_ellis.md,30,15,5,15,10,10,10,5,100,A
140_paul_jarvis.md,30,15,5,0,10,10,10,5,85,B
141_kp.md,30,15,5,15,10,10,10,5,100,A
142_bram_kanstein.md,30,15,5,0,10,10,10,5,85,B
143_mike_carson.md,30,15,5,15,0,10,10,5,90,A
144_ryan_kulp.md,30,15,5,15,10,10,10,5,100,A
145_laura_roeder.md,30,15,5,15,10,10,10,5,100,A
146_yannick_veys.md,30,15,5,15,10,10,10,5,100,A
147_andrey_azimov.md,30,15,5,15,10,10,10,5,100,A
148_marc_kohlbrugge.md,30,15,5,15,10,10,10,5,100,A
149_randall_kanna.md,30,15,5,0,10,10,10,5,85,B
150_wes_bos.md,30,15,5,15,10,10,10,5,100,A
151_scott_tolinski.md,30,15,5,15,10,10,10,5,100,A
152_lynne_tye.md,30,15,5,15,10,10,10,5,100,A
153_samy_dindane.md,30,15,5,15,10,10,10,5,100,A
154_alex_west.md,30,15,5,15,10,10,10,5,100,A
155_ilya_volodarsky.md,30,15,5,15,10,10,10,5,100,A
156_jane_manchun_wong.md,30,15,5,0,0,10,10,5,75,C
157_dagobert_renouf.md,30,15,5,15,10,10,10,5,100,A
158_monica_lent.md,30,15,5,15,10,10,10,5,100,A
159_dru_riley.md,30,15,5,15,10,10,10,5,100,A
160_alex_maccaw.md,30,15,5,15,10,10,10,5,100,A
163_nomad_list.md,30,15,5,15,10,10,10,5,100,A
164_daniel_vassallo.md,30,15,5,15,10,10,10,5,100,A
165_sharath_kuruganty.md,30,15,5,15,10,10,10,5,100,A
166_chris_frantz.md,30,15,5,15,10,10,10,5,100,A
169_amy_hoy.md,30,15,5,15,10,10,10,5,100,A
ai_famous_001_aidan_gomez.md,30,15,5,15,10,10,10,5,100,A
ai_famous_002_raquel_urtasun.md,0,0,0,0,0,0,0,0,0,F
ai_famous_003_clement_delangue.md,30,15,5,15,10,10,10,5,100,A
ai_famous_004_andrew_ng.md,30,15,5,0,10,10,10,5,85,B
ai_famous_005_ilya_sutskever.md,0,0,0,0,0,0,0,0,0,F
ai_famous_006_greg_brockman.md,0,0,0,0,0,0,0,0,0,F
ai_famous_007_dario_amodei.md,0,0,0,0,0,0,0,0,0,F
ai_famous_008_sam_altman.md,0,0,0,0,0,0,0,0,0,F
ai_famous_009_dave_rogenmoser.md,0,0,0,0,0,0,0,0,0,F
