番号,ファイル名,行数,YAML,基本情報,収益,タイムライン,日本スコア,FC,ソース数,品質レベル,備考
100,088_justin_welsh.md,453,Yes,Yes,Yes,Yes,Yes,PASS,0,A,Template v4.0完全準拠
101,089_david_bressler.md,384,Yes,Yes,Yes,Yes,Yes,PASS,0,C,標準的内容
102,090_dustin_stout.md,404,Yes,Yes,Yes,Yes,Yes,PASS,0,A,Template v4.0完全準拠
103,091_tim_bennetto.md,400,Yes,Yes,Yes,Yes,Yes,PASS,0,C,標準的内容
104,092_sahil_bloom.md,396,Yes,Yes,Yes,Yes,Yes,PASS,0,A,Template v4.0完全準拠
105,093_rik_schennink.md,328,Yes,Yes,Yes,Yes,Yes,PASS,0,A,Template v4.0完全準拠
106,094_marie_poulin.md,365,Yes,Yes,Yes,Yes,Yes,PASS,0,A,Template v4.0完全準拠
107,095_rashid_khasanov.md,324,Yes,Yes,Yes,Yes,Yes,PASS,0,A,Template v4.0完全準拠
108,096_andy_cloke.md,341,Yes,Yes,Yes,Yes,Yes,PASS,0,A,Template v4.0完全準拠
109,097_leo_baecker.md,381,Yes,Yes,Yes,Yes,Yes,PASS,0,C,標準的内容
110,098_dan_kulkov.md,375,Yes,Yes,Yes,Yes,Yes,PASS,0,A,Template v4.0完全準拠
111,099_pete_codes.md,373,Yes,Yes,Yes,Yes,Yes,PASS,0,C,標準的内容
112,100_ben_tossell.md,395,Yes,Yes,Yes,Yes,Yes,PASS,0,A,Template v4.0完全準拠
113,101_steph_smith.md,234,Yes,Yes,Yes,Yes,Yes,PASS,0,B,内容充実、YAML未対応
114,102_adriaan_van_rossum.md,206,Yes,Yes,Yes,Yes,Yes,PASS,0,B,内容充実、YAML未対応
115,103_charlie_clark.md,206,Yes,Yes,Yes,Yes,Yes,PASS,0,B,内容充実、YAML未対応
116,104_samuel_rondot.md,230,Yes,Yes,Yes,Yes,Yes,PASS,0,B,内容充実、YAML未対応
117,105_lukas_hermann.md,230,Yes,Yes,Yes,Yes,Yes,PASS,0,B,内容充実、YAML未対応
118,106_sebastian_roehl.md,218,Yes,Yes,Yes,Yes,Yes,PASS,0,B,内容充実、YAML未対応
119,107_justin_duke.md,223,Yes,Yes,Yes,Yes,Yes,PASS,0,B,内容充実、YAML未対応
120,108_nevo_david.md,256,Yes,Yes,Yes,Yes,Yes,PASS,0,A,Template v4.0完全準拠
121,109_angus_cheng.md,248,Yes,Yes,Yes,Yes,Yes,PASS,0,A,Template v4.0完全準拠
122,110_francois_mommens.md,222,Yes,Yes,Yes,Yes,Yes,PASS,0,B,内容充実、YAML未対応
123,111_steve_ridout.md,210,Yes,Yes,Yes,Yes,Yes,PASS,0,B,内容充実、YAML未対応
124,112_kevin_conti.md,206,Yes,Yes,Yes,Yes,Yes,PASS,0,B,内容充実、YAML未対応
125,113_joseph_setter_ai.md,224,Yes,Yes,Yes,Yes,Yes,PASS,0,A,Template v4.0完全準拠
126,114_chris_poka.md,202,Yes,Yes,Yes,Yes,Yes,PASS,0,B,内容充実、YAML未対応
127,115_tyler_tringas.md,221,Yes,Yes,Yes,Yes,Yes,PASS,0,A,Template v4.0完全準拠
128,ai_famous_001_aidan_gomez.md,91,No,Yes,No,No,No,None,0,D,骨格のみ（      91行）
129,ai_famous_002_raquel_urtasun.md,90,No,Yes,Yes,No,No,None,0,B,内容充実、YAML未対応
130,ai_famous_003_clement_delangue.md,93,No,Yes,No,No,No,None,0,D,骨格のみ（      93行）
131,ai_famous_004_andrew_ng.md,92,No,Yes,No,No,No,None,0,D,骨格のみ（      92行）
132,ai_famous_005_ilya_sutskever.md,89,No,Yes,No,No,No,None,0,D,骨格のみ（      89行）
133,ai_famous_006_greg_brockman.md,91,No,Yes,No,No,No,None,0,D,骨格のみ（      91行）
134,ai_famous_007_dario_amodei.md,91,No,Yes,No,No,No,None,0,D,骨格のみ（      91行）
135,ai_famous_008_sam_altman.md,90,No,Yes,Yes,No,No,None,0,B,内容充実、YAML未対応
136,ai_famous_009_dave_rogenmoser.md,93,No,Yes,Yes,No,No,None,0,B,内容充実、YAML未対応
